The Caesar cipher is an example of a transposition cipher.,false
The Vigenère cipher is a polyalphabetic substitution cipher.,true
The Enigma machine was used by the Allied forces during World War II.,false
The Kasiski examination is a method for breaking the Caesar cipher.,false
The Vernam cipher, also known as the one-time pad, provides unbreakable security if used correctly.,true
Symmetric encryption uses the same key for both encryption and decryption.,true
In asymmetric encryption, the public key is used for decryption and the private key is used for encryption.,false
The SHA-256 algorithm is an example of a symmetric encryption algorithm.,false
Hashing is a one-way function that produces a fixed-size output from an input of any size.,true
Digital signatures ensure the confidentiality of a message.,false
The Modulo Hash algorithm is suitable for cryptographic purposes.,false
Cybercriminals may attempt to steal personal information for financial gain.,true
Hacktivists are primarily motivated by financial gain.,false
Governments and state-sponsored actors may target individuals for espionage or surveillance purposes.,true
Insider threats are always easy to detect and prevent.,false
Purchasing devices from reputable manufacturers can reduce the risk of pre-installed malware.,true
Keeping your software and operating systems up to date is not important for data security.,false
Using the same password for multiple online accounts is a good security practice.,false
Two-factor authentication adds an extra layer of security beyond just a password.,true
Phishing attempts can be easily identified by looking for spelling and grammar errors in the message.,false
Encrypting your data and communications is an effective way to protect sensitive information.,true
Regularly backing up your data is not necessary if you have a reliable computer.,false
A multi-layered approach to data security is recommended.,true
Staying informed about the latest security best practices is important for protecting your data.,true
The CIA triad consists of Confidentiality, Integrity, and Authenticity.,false
The Enigma machine was an electro-mechanical device used for encryption during World War II.,true
The Kasiski examination is a method for determining the length of the keyword in a Vigenère cipher.,true
The Vernam cipher, also known as the one-time pad, is vulnerable to frequency analysis.,false
Symmetric encryption algorithms use different keys for encryption and decryption.,false
RSA is an example of an asymmetric encryption algorithm.,true
The security of RSA relies on the difficulty of factoring large prime numbers.,true
Hashing is a reversible process that can be used to recover the original input from the hash value.,false
The MD5 algorithm is considered secure for cryptographic purposes.,false
Digital signatures provide non-repudiation, ensuring the authenticity of the sender.,true
The Modulo Hash algorithm ensures collision resistance.,false
Cybercriminals often target individuals' personal information for identity theft and financial fraud.,true

